raw_vendor_name,normalized_vendor_name,snfei
SINAI HEALTH SYSTEM,sinai health system,704c7a5d73254019911c69f8c6b0b9e572bb5f156b925937d591d965e2572688
MIDWEST WRECKING COMPANY 01,midwest wrecking,25e74ecd1384efcfbbf6926d06bf5953e6587d29606e280db36974dd544794b1
"CHICAGO UNITED INDUSTRIES, LIMITED",city of chicago united industries limited,dbc190523c13373aea79ba9138e969699c55a13eb279f0bb668fe6faa119d954
"DEMOLITION & DEVELOPMENT, LIMITED.",demolition & development limited,e52d509f83a0bebe15757e38f053c99d72b6b439e9827871c9398e386a0b4d5b
"DEMOLITION & DEVELOPMENT, LIMITED.",demolition & development limited,e52d509f83a0bebe15757e38f053c99d72b6b439e9827871c9398e386a0b4d5b
JULIE & STEVE'S ACQUISITION,julie & steve's acquisition,8df0378910f15482022f028ccf4453850a3093dbb3360f04c9a476f8d0bebd13
JULIE & STEVE'S ACQUISITION,julie & steve's acquisition,8df0378910f15482022f028ccf4453850a3093dbb3360f04c9a476f8d0bebd13
JULIE & STEVE'S ACQUISITION,julie & steve's acquisition,8df0378910f15482022f028ccf4453850a3093dbb3360f04c9a476f8d0bebd13
ZOLL MEDICAL CORP,zoll medical,4799cc1dcaaad0f2bdf6fa8533b2c99d957aaa1e71f460b82c5dcceef5793336
ROGERS PARK BUSINESS ALLIANCE,rogers park business alliance,d048cbacb580bc1e282fc47b60a64c7c2cbc7d2847d12e11371938326dd0f6d7
MAX MADSON FORD,max madson ford,74069371fdbbe6be78dab8c97d6ad2fd2005f4cbba65a95059e03e3b34c4e962
G. VALDES ENTERPRISES,g. valdes enterprises,8fe407689f1af4c2205d239dc5c677ee0143e91a86543a0d7fb28b9f3b23364a
G. VALDES ENTERPRISES,g. valdes enterprises,8fe407689f1af4c2205d239dc5c677ee0143e91a86543a0d7fb28b9f3b23364a
DEBORAH'S PLACE 01,deborah's place,589e3441758a803ae0eb4b3ab49c9cca0b9ec072eeb7c2d9503f84f42fedf201
MIDWEST WRECKING COMPANY 01,midwest wrecking,25e74ecd1384efcfbbf6926d06bf5953e6587d29606e280db36974dd544794b1
ACURA INC,acura incorporated,afb962d1ddef4b93afc80d1a7604b68bd6a9079b9c65ef45a2c56aef430ff6e0
FAMILY RESCUE,family rescue,7a087c1a494262a61ab6d544d0215e9ebd89d16f256d98048917fb9280b2ef94
JORH FRAME & MOULDING CO.LIMITED,jorh frame & moulding co.limited,ceba2443d30adccabdfb22857fb19859e8b1bd94a4efeef99eed489f32902a21
SERVICE FORMS & GRAPHICS INC,service forms & graphics incorporated,04eb9cb7af8be218eb939d29231f97b7fba5218ce8f1e2379ae5e0529621fdd0
"SUMIT CONSTRUCTION CO., INC.",sumit construction co. incorporated,dbf5d8c5a25b56c4670a2ff1b6e7f611015ff463b0d11d9ec2505d5ee8c2302a
UNION PACIFIC RAILROAD CO,union pacific railroad,216c8a9f0752b57e2260c7e13d5cf82677a922dea0d9adb955a85932940f0d92
"SUMIT CONSTRUCTION CO., INC.",sumit construction co. incorporated,dbf5d8c5a25b56c4670a2ff1b6e7f611015ff463b0d11d9ec2505d5ee8c2302a
UNISOURCE,unisource,bca7ed2a10e09ebbc41175853683a6e18745d9e7039ab265c1a61372c80931ca
SERVICE FORMS & GRAPHICS INC,service forms & graphics incorporated,04eb9cb7af8be218eb939d29231f97b7fba5218ce8f1e2379ae5e0529621fdd0
COALITION OF LIMITED ENGLISH SPEAKING ELDERLY,coalition of limited english speaking elderly,3a846f8adbdd5d6e5d1bea8fda7f3ae71d806d835c27e0925d2c3abb5bd275f3
MCDERMOTT CENTER|CLEANED-UP,mcdermott center,77c6adf8dfd3680d3054450f566f08457b04cf924ddee9cdc9d2010e7af2d5db
ERIE NEIGHBORHOOD HOUSE,erie neighborhood house,1d06104e87e9bc7e3a9f2ed6a2c60a9d1977c76e48dab7724cba6a74c255c467
"KEDZIE PLAZA 1, LLC",kedzie plaza 1 limited liability,64798e629372faa602d754cd344a0d6af7f651371bbd54300ad519e1a873ec22
COALITION OF LIMITED ENGLISH SPEAKING ELDERLY,coalition of limited english speaking elderly,3a846f8adbdd5d6e5d1bea8fda7f3ae71d806d835c27e0925d2c3abb5bd275f3
UNIV OF IL AT CHICAGO,univ of il at city of chicago,3c72daeabe58d8c1fe46b442bd590e4002b9ec61b8778fe2ed4c4161544e7d4b
"EMPLOYMENT & EMPLOYER SERVICES, INC.",employment & employer services incorporated,b2c51b2fe4ef2067e2f0377699eef95d9116ec99aea5ab71590488622e3997e7
METROPOLITAN FAMILY SERVICE,metropolitan family service,cf25e1c684802a361826daeea8e58e3cff512775bb05d120e7df1e2a5938406f
CHICAGO COOK WORKFORCE PARTNERSHIP,city of chicago cook workforce partnership,c08c4500ae9df003893ead18dbe2a43a8771868f5132d715bbf349eb440d7292
J P SIMONS & COMPANY,j p simons &,777830def2da3b9b3fa8cc3cc7d0160ca6bba1fc95270d325fbcdc75ddff3dab
WORLD FUEL SERVICES INC,world fuel services incorporated,10923ee08d9a63a3bdd7c0771760e78a5547d74c28f109253e974d3e3a6637d4
MAILTECH LIMITED,mailtech limited,c599e8c8ef47ce00ffd565a1415f3cf87f95dca9c72254ec7c6c974ca6f407a7
WORLD FUEL SERVICES INC,world fuel services incorporated,10923ee08d9a63a3bdd7c0771760e78a5547d74c28f109253e974d3e3a6637d4
"ANCHOR MECHANICAL, INC",anchor mechanical incorporated,722716b1becd3a8bfcd9705128dbd0fef3ea1d59c6f2059721dd4e76bd271c4f
G4S SECURE SOLUTIONS (USA) INC,g4s secure solutions (usa) incorporated,1a29d7af68b5b40bfbe87373a79bff7d1e7c86b259499ad29610acaf935a4143
FISHER SCIENTIFIC CO.,fisher scientific,0038dca2c849167889925495e159e2ab828b9cfe049826d7330f1c0a469e36ec
CHAMPS Male Mentoring Program-Chirise,champs male mentoring program-chirise,198a502cb25c6ac74eb4ea5511458b7bf6da5fbf7c00d92c1f7704692daca17c
PERK PRODUCTS INC,perk products incorporated,5dc5443f541056ec0b856388929e3eabe11cb422630d0841b4b086b04d346f3d
TURNER-CONCRETE STRUCTURES-LINDAHL TRI VENTURE,turner-concrete structures-lindahl tri venture,d1af2ad9f58a9585c1b9ea026d38705e6b912c6746b02e6df690e92edf619f80
"LA CASA NORTE, INC",la casa norte incorporated,5784a1c4560be324c68b7bcbf11cb09c5f9dc846998537860c2f934c14a64cc1
ACURA INC,acura incorporated,afb962d1ddef4b93afc80d1a7604b68bd6a9079b9c65ef45a2c56aef430ff6e0
THRESHOLDS,thresholds,d523b87e374ac51a1861bd2b69ad4300881feecf83de83f1c8f73349505d7659
PERK PRODUCTS INC,perk products incorporated,5dc5443f541056ec0b856388929e3eabe11cb422630d0841b4b086b04d346f3d
JOHNSON PIPE & SUPPLY COMPANY INC,johnson pipe & supply incorporated,9496e8b461780af36a941854a4722a034534dfe1d9b3c5539d5e1f8443f004bf
JOHNSON PIPE & SUPPLY COMPANY INC,johnson pipe & supply incorporated,9496e8b461780af36a941854a4722a034534dfe1d9b3c5539d5e1f8443f004bf
MEGA GROUP,mega group,ffebcee1f625698871647a1c6e87178e6ff18cbf522ddd13ad47cbeae327f20a
PERK PRODUCTS INC,perk products incorporated,5dc5443f541056ec0b856388929e3eabe11cb422630d0841b4b086b04d346f3d
MEGA GROUP,mega group,ffebcee1f625698871647a1c6e87178e6ff18cbf522ddd13ad47cbeae327f20a
"HUMAN RESOURCES DEVELOPMENT INSTITUTE, INC.",human resources development institute incorporated,abc78b92edaa1f5a71e6de61640e7603b447c05276a3646a95e5ff3e2bc19a2e
NEOPOLITAN LIGHTHOUSE C/O,neopolitan lighthouse c/o,56eafb8077db77e367a4e38e2b55a2e21b6b811e00c657af7207230ab8155629
WEST POINT FELLOWSHIP INC,west point fellowship incorporated,af2063116d9819f3a8e999d4f18beb3f3f95f7911b4b59697fa2d576b8077da7
PRIMO CENTER FOR WOMEN & CHILDREN,primo center for women & children,ecc18e7816cd609df9f408226294b93e9fc4a57aaeeb084a379deb22f5cdb0c2
Seventy-Seven Communities Meal Services LLC,seventy-seven communities meal services limited liability,381a67c75e45669c52e7106a966260c8be7d3de3322a24a0f996690cffd280c1
PRIMO CENTER FOR WOMEN & CHILDREN,primo center for women & children,ecc18e7816cd609df9f408226294b93e9fc4a57aaeeb084a379deb22f5cdb0c2
"MAT Asphalt, LLC.",mat asphalt limited liability,9583e1f5c285f521b903c3749483fb4ebd354fda431fdca9fa193a034589b6b9
METROPOLITAN FAMILY SERVICE,metropolitan family service,cf25e1c684802a361826daeea8e58e3cff512775bb05d120e7df1e2a5938406f
CORNERSTONE COMMUNITY OUTREACH,cornerstone community outreach,90d861627e533f3b5236c43914ef566a39fc978676f6cea882a2c4df5961eb83
CHICAGO HOUSE & SOCIAL SERVICE AGENCY,city of chicago house & social service agency,56f518ff0104e2e6095d3b8a47aae79a1af65882449f5a67deb2c7c5b57e4138
ALTERNATIVES INC.,alternatives incorporated,f83d4eefe52a83f8b398dc51bb3b20ccc22d295e42e89823227990e2d96ffee9
ILLINOIS ACTION FOR CHILDREN,state of illinois action for children,7e06de3d15fa09a2765147d375c8a482e4356988bc7f170014be4fb0149a936e
HOWARD BROWN HEALTH CENTER,howard brown health center,27fbaae005d80d87c526d47e38c4f760754adbb4c08108d5e4047ac44550dac9
OLIVE BRANCH MISSION 01|CLEANED-UP,olive branch mission,4e12b498ce0230a3e555d72536b9ed9921c8799ee22ba08c4b679d52299bd04e
"SGA YOUTH & FAMILY SERVICES, NFP",sga youth & family services not for profit,65f3d84d9410db60031004a2b16dd6aa04fb50d4d1031ead9a5e2116a51b5e12
"KEDZIE PLAZA 1, LLC",kedzie plaza 1 limited liability,64798e629372faa602d754cd344a0d6af7f651371bbd54300ad519e1a873ec22
LOOKING GOOD HAND CAR WASH,looking good hand car wash,e94c417d6df6268e1ccd85370c4adcabfcdbbbd39d91399bce1c0505810f21ed
SINAI HEALTH SYSTEM,sinai health system,704c7a5d73254019911c69f8c6b0b9e572bb5f156b925937d591d965e2572688
BOARD OF TRUSTEES OF THE UNIVERSITY. OF ILLINOIS,board of trustees of university. of state of illinois,cb916e016ea5952621b42615a0c31a2aba4569ce2b152ab0371cdd112780ce2a
"A KNOCK AT MIDNIGHT, NFP",a knock at midnight not for profit,54e849a0aa27fbe5a4a9988113553b0dae7d9a5366ded643d62a2346c529346a
